--- model size ---
model: 54,914,696
======= start training =======
epoch: 12 |   3/  5 | exp/workdir | batch/s: 2.56 | lr: 0.0002 | loss: 0.444 | time: 0:00:41.4 | step: 64
epoch: 12 |   4/  5 | exp/workdir | batch/s: 4.38 | lr: 0.0002 | loss: 0.413 | time: 0:00:41.6 | step: 65
epoch: 13 |   0/  5 | exp/workdir | batch/s: 2.24 | lr: 0.0002 | loss: 0.515 | time: 0:00:42.1 | step: 66
epoch: 13 |   1/  5 | exp/workdir | batch/s: 2.56 | lr: 0.0002 | loss: 0.491 | time: 0:00:42.5 | step: 67
epoch: 13 |   2/  5 | exp/workdir | batch/s: 2.37 | lr: 0.0002 | loss: 0.484 | time: 0:00:42.9 | step: 68
epoch: 13 |   3/  5 | exp/workdir | batch/s: 2.56 | lr: 0.0002 | loss: 0.475 | time: 0:00:43.3 | step: 69
epoch: 13 |   4/  5 | exp/workdir | batch/s: 4.45 | lr: 0.0002 | loss: 0.504 | time: 0:00:43.5 | step: 70
epoch: 14 |   0/  5 | exp/workdir | batch/s: 2.21 | lr: 0.0002 | loss: 0.467 | time: 0:00:44.0 | step: 71
epoch: 14 |   1/  5 | exp/workdir | batch/s: 2.39 | lr: 0.0002 | loss: 0.499 | time: 0:00:44.4 | step: 72
epoch: 14 |   2/  5 | exp/workdir | batch/s: 2.47 | lr: 0.0002 | loss: 0.476 | time: 0:00:44.8 | step: 73
epoch: 14 |   3/  5 | exp/workdir | batch/s: 2.40 | lr: 0.0002 | loss: 0.495 | time: 0:00:45.2 | step: 74
epoch: 14 |   4/  5 | exp/workdir | batch/s: 4.58 | lr: 0.0002 | loss: 0.417 | time: 0:00:45.4 | step: 75
epoch: 15 |   0/  5 | exp/workdir | batch/s: 2.12 | lr: 0.0002 | loss: 0.469 | time: 0:00:45.9 | step: 76
epoch: 15 |   1/  5 | exp/workdir | batch/s: 2.46 | lr: 0.0002 | loss: 0.491 | time: 0:00:46.3 | step: 77
epoch: 15 |   2/  5 | exp/workdir | batch/s: 2.44 | lr: 0.0002 | loss: 0.479 | time: 0:00:46.7 | step: 78
epoch: 15 |   3/  5 | exp/workdir | batch/s: 2.47 | lr: 0.0002 | loss: 0.443 | time: 0:00:47.1 | step: 79
